,distv_num,dist_loca_num,Type
9070,-2.631742515,6.204440095,Virus
1833,-2.631636804,6.167947556,Host
9010,-2.630946326,6.204440095,Virus
1831,-2.63086055,6.167947556,Host
828,-2.630253414,5.723030061,Host
9071,-2.630112842,6.204440095,Virus
8165,-2.629454149,6.049067775,Virus
1465,-2.629173667,6.255168341,Host
9824,-2.628993138,6.319760596,Virus
6096,-2.628191884,5.350435739,Virus
7137,-2.628163791,5.794732382,Virus
997,-2.62684105,5.723030061,Host
6908,-2.625038549,5.723030061,Virus
10169,-2.624763301,6.448694422,Virus
6090,-2.623348072,5.350435739,Virus
6352,-2.623042202,5.507657415,Virus
1323,-2.622649085,5.723030061,Host
3398,-2.62134641,6.204440095,Host
6347,-2.621232413,5.507657415,Virus
10185,-2.621129786,6.448694422,Virus
6932,-2.619865263,5.723030061,Virus
1265,-2.619729086,6.448694422,Host
7822,-2.619508264,5.970751066,Virus
1830,-2.618781973,6.167947556,Host
1272,-2.618585476,6.448694422,Host
771,-2.617319071,6.448694422,Host
7052,-2.617311217,5.766225705,Virus
3397,-2.616909918,6.204440095,Host
764,-2.616256376,6.448694422,Host
1834,-2.616251049,6.167947556,Host
1578,-2.616119335,5.970751066,Host
7054,-2.615484458,5.766225705,Virus
6924,-2.615023701,5.723030061,Virus
7105,-2.614559439,5.794732382,Virus
6379,-2.614390081,5.507657415,Virus
7819,-2.613382833,5.970751066,Virus
1468,-2.612610315,6.255168341,Host
7821,-2.611475107,5.970751066,Virus
1467,-2.611334982,6.255168341,Host
7824,-2.610735154,5.970751066,Virus
9069,-2.609852133,6.204440095,Virus
6940,-2.609563492,5.723030061,Virus
742,-2.609478655,5.723030061,Host
9787,-2.609354076,6.319760596,Virus
1615,-2.609264792,5.766225705,Host
3429,-2.609170412,6.367504144,Host
10045,-2.609038662,6.377449076,Virus
7049,-2.608178318,5.766225705,Virus
1026,-2.608003233,6.448694422,Host
7143,-2.607079026,5.794732382,Virus
9437,-2.606464104,6.255168341,Virus
1243,-2.606363334,5.723030061,Host
3060,-2.606112129,5.794732382,Host
8144,-2.606098983,6.049067775,Virus
9901,-2.605939084,6.322060537,Virus
